type,id,en_description,zh_description
Word,w8,Description,定义
Word,w6,Diagnostic imaging,诊断影像学
Word,w1,Diet,饮食控制
Word,w11,Diet modification,饮食调整
Word,w2,Dietary supplements,膳食补充剂
Word,w2,Diffuse,弥漫型
Word,w27,Digital Mammography,数字乳腺X线摄影
Word,w2,Disclaimer,​免责声明
Word,w4,Discomfort,​不适感
Word,w3,Distant Metastases,远处转移
Word,w27,Dose-dense AC-T,剂量密集AC-T
Word,w8,Dose/Trial Drug,剂量/试验用药
Word,w33,Doxorubicin (mg/m²),阿霉素（mg/m²）
Word,w9,Dyspareunia,性交痛
Word,w1,Dysplasia,异型增生
Word,w14,Dyspnea,呼吸困难
Word,w19,Early pregnancy,早孕
Word,w15,Elderly women,老年女性
Word,w44,Endobronchial therapies,经支气管镜治疗
Word,w10,Endogenous estrogen,内源性雌激素
Word,w16,Environmental factors,环境因素
Word,w12,Epidemiology,​流行病学
Word,w32,Epithelial Tumors,上皮性肿瘤
Word,w16,Epithelioid Hemangioendothelioma,上皮样血管内皮细胞瘤
Word,w12,Estrogen-only therapy,仅雌激素治疗
Word,w25,Evidence (PCI):,证据（PCI）：
Word,w19,Evidence (bevacizumab):,证据（贝伐单抗）：
Word,w14,Evidence (capecitabine):,证据（卡培他滨）：
Word,w25,Evidence (cetuximab):,证据（西妥昔单抗）：
Word,w16,Evidence (irinotecan):,证据（伊立替康）：
Word,w10,Evidence (oxaliplatin):,证据（奥沙利铂）：
Word,w17,Evidence (panitumumab):,证据（帕尼单抗）：
Word,w53,Evidence (surgery):,证据（手术）：
Word,w11,Evidence (topotecan):,证据（拓扑替康）：
Word,w14,Exemestane,依西美坦
Word,w3,Exercise,运动
Word,w8,Extensive-Stage Disease,广泛期
Word,w36,External Validity,外部效度
Word,w30,E—Extrahepatic contiguous,E-肝外毗邻部位浸润
Word,w51,FDG-PET scanning,FDG-PET扫描
Word,w27,FOBT/ Sigmoidoscopy,FOBT/乙状结肠镜
Word,w19,Facility Characteristics,机构特征
Word,w5,Fair,一般
Word,w12,Familial polyposis,家族性息肉病
Word,w9,Family history,家族史
Word,w23,Favor Raloxifene,雷洛昔芬较优
Word,w22,Favor Tamoxifen,他莫昔芬较优
Word,w8,Fenretinide,芬维A胺
Word,w24,Fibrolamellar carcinoma,纤维板层型肝癌
Word,w3,Find Publications,查询出版物
Word,w30,Fluorouracil (5-FU),氟尿嘧啶（5-FU）
Word,w1,Food,食物
Word,w1,Gastric endoscopy,胃镜
Word,w46,Gastrointestinal Complications,胃肠道并发症
Word,w23,Gastrointestinal bleeding,​消化道出血
Word,w26,General Information,基本信息
Word,w13,Genetic mutations,基因突变
Word,w11,Good,佳
Word,w1,Grade,分级
Word,w17,Gynecologic problems,妇科症状
Word,w13,HER2+,HER2+过表达型
Word,w9,Harms,​危害
Word,w2,Hepatic Ultrasound,肝脏超声
Word,w7,Hepatitis A,甲型肝炎
Word,w9,Hepatitis B,乙型肝炎
Word,w12,Hepatitis C,丙型肝炎
Word,w18,Hepatitis D,丁型肝炎
Word,w6,Hepatitis E,戊型肝炎
Word,w11,Hepatitis F,己型肝炎
Word,w5,Hepatitis G,庚型肝炎
Word,w4,Hepatoblastoma,肝母细胞瘤
Word,w7,Hepatocellular Carcinoma,肝细胞癌
Word,w19,High Risk,高危
Word,w5,High-grade dysplasia,重度不典型增生
Word,w11,Histology,组织学
Word,w15,Hoarseness,声音嘶哑
Word,w3,Hoarseness,声嘶
Word,w19,Hyperplasia,增生
Word,w52,IB NSCLC,IB期NSCLC
Word,w55,IIB NSCLC,IIB期NSCLC
Word,w12,Ill-defined borders,边界不清
Word,w16,Illustration,说明
Word,w7,Illustration,图示
Word,w30,Immunochemical FOBT,免疫化学FOBT
Word,w2,Indication,适应证
Word,w51,Inflammatory carcinoma,炎性癌
Word,w31,Intermediate Risk,中危
Word,w19,Internal Validity,内部效度
Word,w22,International Comparisons,​国家对比
Word,w18,Interval cancers,间期癌
Word,w1,Intestinal,肠型
Word,w5,Intestinal metaplasia,肠上皮化生
Word,w27,Intestinal obstruction,​肠梗阻
Word,w21,Intra-arterial chemotherapy,动脉内化疗
Word,w5,Introduction,简介
Word,w25,Ionizing radiation,电离辐射
Word,w8,Irinotecan,伊立替康​
Word,w17,Kaposi sarcoma,卡波西肉瘤
Word,w10,LCNEC,大细胞神经内分泌癌
Word,w9,Lapatinib,拉帕替尼
Word,w12,Leg cramps,下肢痉挛
Word,w6,Leiomyoma,平滑肌瘤
Word,w10,Leiomyosarcoma,平滑肌肉瘤
Word,w27,Limited-Stage Disease,局限期
Word,w1,Lipoma,脂肪瘤
Word,w8,Liver Transplantation,肝移植
Word,w9,Liver biopsy,肝活检
Word,w29,Liver metastases,​肝转移
Word,w24,Lobular histology,​小叶组织学
Word,w22,Local ablation,局部消融术
Word,w36,Local-regional treatment,局部-区域治疗
Word,w39,Low Risk,低危
Word,w25,Low-birth-weight infants,低出生体重儿
Word,w10,"Lower, X",较低，X
Word,w41,Luminal A,Luminal A型
Word,w40,Luminal B,Luminal B型
Word,w22,Lymph nodes,淋巴结
Word,w10,Lymphedema,淋巴水肿
Word,w23,Lymphoepithelioma-like carcinoma,淋巴上皮瘤样癌
Word,w32,Lymphovascular invasion,淋巴管浸润
Word,w49,M1 (distant),M1（远处转移）
Word,w4,Male gender,男性
Word,w3,Mediterranean,地中海地区
Word,w21,Medullary carcinoma,髓样癌
Word,w2,Melanoma,黑色素瘤
Word,w21,Melanoma Treatment,黑色素瘤的治​疗
Word,w3,Men,男性
Word,w13,Metaplasia,化生
Word,w1,Micrometastases,微转移
Word,w9,Minnesota,明尼苏达
Word,w20,Molecular Features,分子特征
Word,w44,Monoclonal antibodies,单克隆抗体
Word,w2,Mucinous,黏液型
Word,w19,Mucinous adenocarcinoma,粘液腺癌
Word,w41,Mucinous cystadenocarcinoma,黏液性囊腺癌
Word,w62,Mucoepidermoid carcinoma,黏液表皮样癌
Word,w14,Musculoskeletal problems,肌肉骨骼异常
Word,w28,M—Distant metastatic,M-远处转移
Word,w59,Neoadjuvant therapy,新辅助治疗
Word,w33,Neuroendocrine tumors,神经内分泌肿瘤
Word,w16,Neurologic sequelae,神经后遗症
Word,w32,No effect,无效果
Word,w33,No metastases,无转移
Word,w25,Nonepithelial Tumors,非上皮性肿瘤
Word,w3,Nonmucinous,非黏液型
Word,w47,Nonsquamous histology,非鳞状细胞组织学
Word,w17,Normal,正常细胞样型
Word,w17,Northern Europe,北欧地区
Word,w38,Occult NSCLC,隐匿性NSCLC
Word,w60,Occult carcinoma,隐匿癌
Word,w18,Oral contraceptives,口服避孕药
Word,w2,Orchiectomy,睾丸切除术
Word,w6,Other regimens,其他方案
Word,w1,Overdiagnosis,过度诊断
Word,w10,Overdiagnosis,​过度诊断
Word,w2,Overview,基本信息
Word,w3,Oxaliplatin,奥沙利铂​
Word,w4,Oxaliplatin,奥沙利铂
Word,w8,PRETEXT designations,PRETEXT命名
Word,w11,PRETEXT stage,PRETEXT分期
Word,w5,Paclitaxel,紫杉醇
Word,w22,Paclitaxel/Docetaxel (mg/m²),紫杉醇/多西他赛（mg/m²）
Word,w28,Palliative chemoradiation,姑息性放化疗
Word,w20,Palliative chemotherapy,姑息化疗
Word,w31,Palliative chemotherapy,姑息性化疗
Word,w10,Palliative therapy,姑息治疗
Word,w52,Palpable tumors,​肿瘤可触及
Word,w5,Panitumumab,帕尼单抗​
Word,w11,Panitumumab,帕尼单抗
Word,w17,Papillary,乳头状
Word,w18,Pathologic Classification,病理学分类
Word,w5,Pathology,病理学
Word,w25,Patient Characteristics,患者特征
Word,w50,Patient Evaluation,患者评估
Word,w45,Patient Group,患者分组
Word,w21,Performance status,身体状况评分
Word,w7,Perioperative chemotherapy,围手术期化疗
Word,w11,Pernicious anemia,恶性贫血
Word,w11,Pertuzumab,帕妥珠单抗
Word,w37,Phyllodes tumor,叶状肿瘤
Word,w9,Physical activity,体力活动​
Word,w5,Physical activity,身体活动
Word,w26,Physician Characteristics,医师特征
Word,w14,Polyp removal,息肉切除
Word,w6,Poor,差
Word,w18,Population Size,人数
Word,w7,Population-level interventions,人群水平的干预
Word,w6,Postmastectomy,乳房切除术后
Word,w8,Postoperative chemotherapy,术后化疗
Word,w34,Postsurgical chemotherapy,术后化疗
Word,w38,Posttreatment ypN,治疗后ypN
Word,w21,Presurgical chemotherapy,术前化疗
Word,w25,Primary Therapy,主要治疗
Word,w34,Primary lymphoma,原发性淋巴瘤
Word,w28,Primary therapy,主要治疗
Word,w1,Progesterone,孕酮
Word,w1,Prognosis,预后
Word,w2,Prognosis--legacy,预后-后遗效应
Word,w4,Prognosis:,预后：
Word,w24,Prophylactic mastectomy,预防性乳房切除术
Word,w11,Prophylactic oophorectomy,预防性卵巢切除术
Word,w54,Pulmonary blastoma,肺母细胞瘤
Word,w4,RCTs,随机对照试验
Word,w2,Race,种族
Word,w20,Radiation Exposure,​射线暴露
Word,w9,Radical surgery,胃癌根治术
Word,w6,Radiosensitizers,放射增敏剂
Word,w1,Radon,氡
Word,w3,Radon exposure,氡的暴露
Word,w7,Raloxifene,雷洛昔芬
Word,w9,Recurrent Hepatoblastoma,肝母细胞瘤复发
Word,w29,Recurrent NSCLC,复发NSCLC
Word,w9,Recurrent disease,复发
Word,w16,Regimen,方案
Word,w4,Region,地区
Word,w34,Rehydrated: 5.8%,再水化：5.8%
Word,w33,Rehydrated: 9.8%,再水化：9.8%
Word,w34,Resection margins,手术切缘情况
Word,w3,Risk,风险
Word,w22,Scant cytoplasm,胞浆少
Word,w23,Scirrhous tumors,硬癌
Word,w12,Screened,筛查组
Word,w23,Screening Intervention,筛查干预
Word,w18,Second-line chemotherapy,二线化疗
Word,w5,Sensitivity,敏感性
Word,w14,Serrated,锯齿状
Word,w2,Serum pepsinogen,血清胃蛋白酶原
Word,w7,Sigmoidoscopy,乙状结肠镜
Word,w3,Site,研究中心
Word,w25,Small cell,小细胞
Word,w4,Smoking avoidance,避免吸烟
Word,w8,South America,南美地区
Word,w14,Special Populations,特殊人群
Word,w13,Stage III,III期肿瘤
Word,w18,Stage IV,IV期肿瘤
Word,w14,Stage Information,分期信息
Word,w6,Stage explanation--legacy,分期--legacy
Word,w26,Stage explanation--legacy,分期说明—legacy
Word,w10,Stage explanation--legacy,分期说明--后遗效应
Word,w31,Stage explanation--legacy,分期信息--legacy
Word,w48,Staging Evaluation,分期评估
Word,w15,Staging Systems,分期系统
Word,w7,Standard treatment,标准治疗
Word,w21,Study Design,研究设计
Word,w8,Surgery alone,单纯手术治疗
Word,w19,Surgical Approaches,手术方式
Word,w7,Surgical Resection,手术切除
Word,w28,Surgical evaluation,手术评估
Word,w31,Surgical margins,手术切缘情况
Word,w1,Surveillance,监控
Word,w1,Survival,生存率
Word,w17,Sweden,瑞典
Word,w5,Systemic Chemotherapy,全身化疗
Word,w48,Systemic Therapy,全身治疗
Word,w23,Systemic disease,全身转移
Word,w21,T3 invasion,T3侵犯
Word,w37,T4 (extension),T4（肿瘤浸润）
Word,w13,T4 disease,T4期肿瘤
Word,w28,Testing Interval,检测间隔
Word,w6,Thermography,​热像图
Word,w24,Third-line chemotherapy,三线化疗
Word,w4,Topotecan,拓扑替康
Word,w10,Transarterial chemoembolization,经肝动脉化疗栓塞术
Word,w18,Trastuzumab,曲妥珠单抗
Word,w15,Treatment Options,治疗方案
Word,w22,Treatment Toxicity,治疗毒性
Word,w22,Treatment-related factors,治疗相关因素
Word,w3,Treatments,治疗
Word,w9,Tubular,管状
Word,w15,Tubulovillous,绒毛管状
Word,w23,Tumor Characteristics,​肿瘤特征
Word,w3,Tumor Location,肿瘤部位
Word,w23,Tumor Location,肿瘤部位
Word,w30,Tumor size,肿瘤大小
Word,w26,Typical carcinoid,典型类癌
Word,w5,Tyrosinemia,酪氨酸血症
Word,w11,Ultrasonography,​超声检查
Word,w35,Unclassified carcinoma,未分类癌
Word,w24,Undifferentiated carcinoma,未分化癌
Word,w24,United Kingdom,英国
Word,w15,United States,美国
Word,w10,Unknown,不明
Word,w20,Unrehydrated: 1.0%,非再水化：1.0%
Word,w31,Unrehydrated: 1.9%,非再水化：1.9%
Word,w26,Unrehydrated: 2.1%,非再水化：2.1%
Word,w29,Unrehydrated: 2.4%,非再水化：2.4%
Word,w39,Unresectable disease,不可切除的肿瘤
Word,w6,Unusual,不常见
Word,w7,"Upper, middle",上段，中段
Word,w20,Uterine cancer,子宫癌
Word,w6,VTE,​静脉血栓栓塞
Word,w9,Variants,变异型
Word,w42,Vascular invasion,血管侵犯
Word,w12,Vascular involvement,血管受累
Word,w15,Vasomotor symptoms,血管收缩症状
Word,w7,Villous,绒毛状
Word,w4,Vitamins,维生素
Word,w8,Weakness,乏力
Word,w21,Weight gain,体重增加
Word,w18,Weight loss,​体重下降
Word,w10,Western Africa,西非地区
Word,w24,Young women,年轻女性
Word,w8,cancer prevention,肺癌的预防
Word,w32,childhood hepatoblastoma,儿童肝母细胞瘤
Word,w11,colon cancer,结肠癌
Word,w13,drinking water,饮用水
Word,w19,extensive-stage SCLC,广泛期SCLC
Word,w43,grade 1,1级
Word,w49,grade 1–2,1-2级
Word,w55,grade 2–3,2-3级
Word,w13,limited-stage SCLC,局限期SCLC
Word,w26,mTOR Inhibitors,mTOR抑制剂
Word,w53,metastatic cancer,转移性乳腺癌
Word,w4,negative,阴性
Word,w30,occult NSCLC,隐匿性NSCLC
Word,w12,positive,阳性
Word,w16,rectal cancer,直肠癌
Word,w36,recurrent NSCLC,NSCLC复发
Phrase,p1,Rofecoxib 25 mg/qd,罗非考昔25 mg/qd
Phrase,p2,Chemoprevention sporadic adenoma,化学预防散发性腺瘤
Phrase,p3,Nonsteroidal anti-inflammatory drugs,非甾体类抗炎药
Phrase,p4,Definition of prevention,预防的定义
Phrase,p5,Use of statins,他汀类药物
Phrase,p6,External Validity: N/A,外部效度：不适用
Phrase,p7,Excessive alcohol use,过度饮酒
Phrase,p8,Risk increases with age,风险随年龄增长而增加
Phrase,p9,Naproxen seemed least harmful,相对而言，萘普生的风险最低
Phrase,p10,Study Design: Cohort studies,研究设计：队列研究
Phrase,p11,Postmenopausal female hormone supplements,绝经后补充雌激素
Phrase,p12,RCTs have been consistent,RCT研究间结论一致
Phrase,p13,Colorectal Cancer (PDQ®): Prevention,结直肠癌（PDQ®）：预防​
Phrase,p14,Who is at Risk,哪些人是结直肠癌的危险人群
Phrase,p15,Study Design: Evidence from RCTs,研究设计：来自RCT的证据
Phrase,p16,Hormone therapy (estrogen plus progestin),激素治疗（雌激素联合孕激素）
Phrase,p17,Internal Validity: Not applicable (N/A),内部效度：不适用
Phrase,p18,Nested case-control study all users,​巢式病例对照研究所有用户
Phrase,p19,"Dietary fiber, vegetables, and fruit",膳食纤维与蔬果
Phrase,p20,Study Design: Cohort and RCTs,研究设计：队列与RCT
Phrase,p21,Dietary fat and meat intake,摄取膳食脂肪与肉类
Phrase,p22,Validity of dietary questionnaires used,选用的饮食调查问卷效度
Phrase,p23,Study Design: Large cohort studies,研究设计：大型队列研究
Phrase,p24,Study Design: Meta-analyses of RCTs,研究设计：RCT荟萃分析
Phrase,p25,Study Design: One-hundred six observational studies,研究设计： 106项观察性研究
Phrase,p26,Etiology and pathogenesis of colorectal cancer,结直肠癌的病因和发病机制
Phrase,p27,Study Design: Cohort studies and meta-analysis,研究设计：队列研究与荟萃分析
Phrase,p28,Study Design: One randomized controlled trial,研究设计：一项随机对照试验
Phrase,p29,Rofecoxib <25 mg/qd; rofecoxib >25 mg/qd,罗非考昔＜25 mg/qd；罗非考昔＞25 mg/qd
Phrase,p30,"Sporadic adenoma prevention trial (N = 2,035)","散发性腺瘤预防试验（N=2,035）"
Phrase,p31,Study Design: Evidence obtained from large databases,研究设计：来自大型数据库的证据
Phrase,p32,The overall 5-year survival rate is 64%,结直肠癌的5年生存率为64%
Phrase,p33,Study Design: Evidence from retrospective cohort studies,研究设计：来自回顾性队列研究的证据
Phrase,p34,Celecoxib 200 mg/qd vs 400 mg bid,塞来昔布200 mg/qd与400 mg bid
Phrase,p35,"External Validity: Good, data from national databases",外部效度：佳，数据来自美国国家数据库
Phrase,p36,Study Design: Extended follow-up of four RCTs,研究设计：4项RCT的延期随访
Phrase,p37,The analysis did not include fiber supplements,该分析不包括补充纤维素
Phrase,p1,Arm B: fluoropyrimidine/oxaliplatin/cetuximab,B组：氟嘧啶/奥沙利铂/西妥昔单抗
Phrase,p2,Endocavitary radiation therapy,盆腔内放疗
Phrase,p3,Definitions of TNM,TNM分期的定义
Phrase,p4,Gastrointestinal stromal tumor,胃肠道间质瘤
Phrase,p5,Arm A: fluoropyrimidine/oxaliplatin,A组：氟嘧啶/奥沙利铂
Phrase,p6,Incidence and Mortality,​发病率与死亡率
Phrase,p7,Local radiation therapy,局部放疗
Phrase,p8,Mantle cell lymphoma,套细胞淋巴瘤
Phrase,p9,Preoperative Chemoradiation Therapy,术前放化疗
Phrase,p10,recurrent rectal cancer,复发性直肠癌
Phrase,p11,Burkitt-like/atypical Burkitt lymphoma,类Burkitt、不典型Burkitt淋巴瘤
Phrase,p12,Metastatic Rectal Cancer,转移性直肠癌
Phrase,p13,Change in appetite,食欲改变
Phrase,p14,Genetic risk factors,​遗传性危险因素
Phrase,p15,First-line multiagent chemotherapy,一线多药化疗
Phrase,p16,A clinical trial,参加临床试验
Phrase,p17,Prone patient positioning,患者俯卧位
Phrase,p18,Palliative radiation therapy,姑息性放疗
Phrase,p19,Signet-ring cell carcinoma,印戒细胞癌
Phrase,p20,Other risk factors,​其他危险因素
Phrase,p21,Rectal Cancer (PDQ®): Treatment,直肠癌（PDQ®）：治疗
Phrase,p22,stage III rectal cancer,III期直肠癌
Phrase,p23,stage I rectal cancer,I期直肠癌
Phrase,p24,Hereditary mixed polyposis syndrome,遗传性混合性息肉病综合征
Phrase,p25,Stage II Rectal Cancer,II期直肠癌
Phrase,p26,Clinical Presentation and Symptoms,临床表现与症状
Phrase,p27,Capecitabine with radiation therapy,卡培他滨联合放疗
Phrase,p28,Systemic chemotherapy (see below),全身化疗（详见下文）
Phrase,p29,Locally Recurrent Rectal Cancer,局部复发性直肠癌
Phrase,p30,Stage I Rectal Cancer,I期直肠癌
Phrase,p31,Change in bowel habits,​排便习惯改变
Phrase,p32,Clinical Evaluation and Staging,临床评估与分期
Phrase,p33,Arm C: intermittent fluoropyrimidine/oxaliplatin,C组：间歇性氟嘧啶/奥沙利铂
Phrase,p34,Cowden syndrome: PTEN gene,​Cowden综合征：PTEN基因
Phrase,p35,stage IV rectal cancer,IV期直肠癌
Phrase,p36,Low-grade glandular intraepithelial neoplasia,低级别腺上皮内瘤变
Phrase,p37,Cetuximab/Panitumumab and Second-Line Chemotherapy,西妥昔单抗/帕尼单抗与二线化疗
Phrase,p38,Table 1. Primary Tumor,表1.原发肿瘤
Phrase,p39,stage II rectal cancer,II期直肠癌
Phrase,p40,stage 0 rectal cancer,0期直肠癌
Phrase,p41,Genetics of Colorectal Cancer,结直肠癌的遗传学
Phrase,p42,High-grade glandular intraepithelial neoplasia,高级别腺上皮内瘤变
Phrase,p43,Stage 0 Rectal Cancer,0期直肠癌
Phrase,p44,Ruvalcaba–Myhre–Smith syndrome: PTEN gene,​Ruvalcaba-Myher-Smith综合征：PTEN基因
Phrase,p45,Tumor invades muscularis propria,肿瘤侵犯固有肌层
Phrase,p46,Addition of radiation therapy,添加放疗
Phrase,p47,Diffuse large B-cell lymphoma,弥漫性大B细胞淋巴瘤
Phrase,p48,Stage III Rectal Cancer,III期直肠癌
Phrase,p49,"Enterochromaffin (EC)-cell, serotonin-producing neoplasm",分泌血清素的肠嗜铬细胞（EC）瘤
Phrase,p50,Oxaliplatin with chemoradiation therapy,奥沙利铂联合放化疗
Phrase,p51,General Information About Rectal Cancer,​直肠癌的基本信息
Phrase,p52,Polypectomy for select T1 cancers,对T1期肿瘤行选择性息肉切除术
Phrase,p53,No regional lymph node metastasis,区域淋巴结无转移
Phrase,p54,Clinical trials evaluating new drugs,新药评估临床试验
Phrase,p55,Table 4. Anatomic Stage/Prognostic Groups,表4.解剖分期/预后分组
Phrase,p56,Chemotherapy alone for local control,单用化疗以进行局部控制
Phrase,p57,Stage Information for Rectal Cancer,直肠癌的分期信息
Phrase,p58,German Rectal Cancer Study Group,德国直肠癌研究组
Phrase,p59,Local excision or simple polypectomy,局部切除术或单纯息肉切除术
Phrase,p60,Peutz-Jeghers syndrome: STK11 / LKB1 gene,​Peutz-Jeghers综合征：STK11/LKB1基因
Phrase,p61,Turcot syndrome: APC gene; MMR genes,​Turcot综合征：APC基因，MMR基因
Phrase,p62,Metastases in 4–6 regional lymph nodes,4-6枚区域淋巴结转移
Phrase,p63,Metastases in ≥7 regional lymph nodes,≥7枚区域淋巴结转移
Phrase,p64,The use of high-energy radiation machines,使用高能量的放疗仪器
Phrase,p65,Familial adenomatous polyposis (FAP): APC gene,​家族性腺瘤性息肉病（FAP）：APC基因
Phrase,p66,Metastases in 1–3 regional lymph nodes,1-3枚区域淋巴结转移
Phrase,p67,Metastases in ≥4 regional lymph nodes,≥4枚区域淋巴结转移
Phrase,p68,The use of multiple pelvic fields,使用多盆腔野放疗
Phrase,p69,"New cases: 40,340 (rectal cancer only)","​新发病例数：40,340（仅直肠癌）"
Phrase,p70,MAC is the modified Astler-Coller classification,MAC系统为改良Astler-Coller分期标准
Phrase,p71,Metastasis in 1 regional lymph node,1枚区域淋巴结转移
Phrase,p72,"Palliative, endoscopic-placed stents to relieve obstruction",姑息性内镜下支架置入术缓解梗阻症状
Phrase,p73,To detect new or metachronous malignancies,检测是否有新发肿瘤或异时性癌
Phrase,p74,Metastases in 2–3 regional lymph nodes,2-3枚区域淋巴结转移
Phrase,p75,Perforation or obstruction of the bowel,是否存在肠穿孔或肠梗阻
Phrase,p76,Presence or absence of distant metastases,是否存在远处转移
Phrase,p77,Table 2. Regional Lymph Nodes (N),表2.区域淋巴结（N）
Phrase,p78,Patients receiving panitumumab experienced improved OS,帕尼单抗组的OS优于对照组
Phrase,p79,Stage IV and Recurrent Rectal Cancer,IV期与复发性直肠癌
Phrase,p80,Cellular Classification and Pathology of Rectal Cancer,直肠癌的细胞学分类和病理
Phrase,p81,Resection of isolated pulmonary or ovarian metastases,孤立性肺转移灶或卵巢转移灶切除术
Phrase,p82,Hyperplastic polyposis syndrome: BRAF and KRAS2 genes,​增生性息肉综合征：BRAF和KRAS2基因
Phrase,p83,Adjuvant chemotherapy following chemoradiation therapy and surgery,放化疗和手术后的辅助化疗
Phrase,p84,Adherence to or invasion of adjacent organs,粘连或浸润毗邻器官
Phrase,p85,Capecitabine plus weekly oxaliplatin with radiation therapy,卡培他滨联合每周一次奥沙利铂和放疗
Phrase,p86,To assess the efficacy of initial therapy,评估初步治疗的效果
Phrase,p87,"Deaths: 50,830 (colon and rectal cancers combined)","死亡病例数：50,830（合并结肠癌与直肠癌）"
Phrase,p88,Attenuated familial adenomatous polyposis (AFAP): APC gene,轻表型家族性腺瘤性息肉病（AFAP）：APC基因
Phrase,p89,The Role of Oxaliplatin for Localized Disease,奥沙利铂对局限病变的作用
Phrase,p90,Metastases in >1 organ/site or the peritoneum,远处转移分布于一个以上的器官/部位或腹膜转移
Phrase,p1,Infected drinking water,被感染的饮用水
Phrase,p2,Hepatitis C virus,丙肝病毒
Phrase,p3,Mode of Transmission,传播途径
Phrase,p4,Hepatitis B virus,乙肝病毒
Phrase,p5,Dominant Geographical Areas,主要地区
Phrase,p6,No virus confirmed,病毒不确定
Phrase,p7,Full recovery (usually),完全治愈（常见结局）
Phrase,p8,Hepatic Virus Types,肝炎病毒类型
Phrase,p9,To be determined,尚待研究
Phrase,p10,Evidence of Benefit,有益的证据
