English_Term,Chinese_Term
Age at entry: 40 to 74 years,入组年龄：40到74岁
Age at entry: 45 to 64 years,入组年龄：45到64岁
Age at entry: 45 to 69 years,入组年龄：45到69岁
Age at entry: 50 to 59 years,入组年龄：50到59岁
Age versus comorbidity,年龄与合并症
Alpha-fetoprotein (AFP) levels,甲胎蛋白（AFP）水平
Alternative drug doses and schedules,变换药物剂量与方案
An American series has confirmed these results,另一项美国的系列临床研究亦证实了这一结果
Analysis: Both evaluation and follow-up methods,分析方法：联合评估和随访分析法
Anaplastic lymphoma kinase receptor (ALK),间变性淋巴瘤激酶受体（ALK）
"Any T, Any N, M1a",任何T，任何N，M1a
"Any T, Any N, M1b",任何T，任何N，M1b
Any stage may have involvement of:,各分期均可能有下列结构受累：
Appendix of Randomized Controlled Trials,附录：随机对照试验
Arm A: fluoropyrimidine/oxaliplatin,A组：氟嘧啶/奥沙利铂
Arm B: fluoropyrimidine/oxaliplatin/cetuximab,B组：氟嘧啶/奥沙利铂/西妥昔单抗
Arm C: intermittent fluoropyrimidine/oxaliplatin,C组：间歇性氟嘧啶/奥沙利铂
Aromatase inhibition or inactivation,芳香化酶抑制或灭活
Aromatase inhibitors or inactivators: Benefits,芳香化酶抑制剂或灭活剂：获益
Aromatase inhibitors or inactivators: Harms,芳香化酶抑制剂或灭活剂：危害
Aspirin and nonsteroidal anti-inflammatory drug use,阿司匹林和非甾体类抗炎药（NSAID）
Aspirin and nonsteroidal anti-inflammatory drugs,阿司匹林和非甾体类抗炎药
Assessment of Performance and Accuracy,有效性及准确度的评估
Assessment of outcome was not blinded,结果评估未设盲
Attendance in this study was 65%,该研究出勤率为65%
Attenuated familial adenomatous polyposis (AFAP): APC gene,轻表型家族性腺瘤性息肉病（AFAP）：APC基因
Avoidance of tobacco and alcohol,远离吸烟与饮酒
Axillary lymph node surgery,腋窝淋巴结手术
BCSC Web site,BCSC 网站
BRCA1 and BRCA1 mutations,BRCA1和BRCA2基因突变
Barcelona Clinic Liver Cancer (BCLC) Staging System,巴塞罗那临床肝癌（BCLC）分期系统
Barium-meal gastric photofluorography,上消化道钡餐造影
Beckwith-Wiedemann syndrome and hemihyperplasia,Beckwith-Wiiedemann综合征与偏侧发育过度
Benefit of Mammography,乳腺X线摄影的益处
Benefit of chemotherapy,化疗获益
Beta-carotene in nonsmokers,非吸烟者补充β-胡萝卜素
Beta-carotene supplementation in current smokers,当前吸烟者补充β-胡萝卜素
Beta-carotene supplementation in nonsmokers,非吸烟者补充β-胡萝卜素
Beta-carotene supplementation in smokers,吸烟者补充β-胡萝卜素
Biliary Tract Rhabdomyosarcoma,胆道横纹肌肉瘤
Bladder control symptoms,膀胱控制症状
"Body fluids, e.g., blood, semen",体液，例如血液、精液
Both T4a and T4b,同时满足T4a和T4b
Breast Cancer (PDQ®): Prevention,乳腺癌（PDQ®）：预防
Breast Cancer (PDQ®): Screening,乳腺癌（PDQ®）：筛查​
Breast Cancer (PDQ®): Treatment,乳腺癌（PDQ®）：治疗
Breast Cancer Diagnosis and Pathology,乳腺癌的诊断和病理学
Breast Cancer Screening Concepts,乳腺癌的筛查概念
Breast Cancer Screening Modalities—Beyond Mammography,乳腺癌筛查方法——除乳腺X线摄影之外的其他方法
Breast Cancer Screening Modalities—Mammography,乳腺癌筛查方法——乳腺X线摄影
Breast Cancer Surveillance Consortium,乳腺癌监管联合会
Breast Cancer Surveillance Consortium (BCSC) Web site,乳腺癌监管联合会（BSCS）网站
Breast Cancer Treatment and Pregnancy,乳腺癌治疗与妊娠
Breast cancer incidence and mortality,​乳腺癌的发病率和死亡率
Breast-conserving surgery without radiation therapy,​保乳手术，不行放疗
Burkitt-like/atypical Burkitt lymphoma,类Burkitt、不典型Burkitt淋巴瘤
CA: cyclophosphamide and doxorubicin,CA：环磷酰胺，阿霉素
CAF: cyclophosphamide plus doxorubicin plus fluorouracil,CAF：环磷酰胺、阿霉素、氟尿嘧啶
"CAF: cyclophosphamide, doxorubicin, 5-fluorouracil",CAF：环磷酰胺，阿霉素，5-氟尿嘧啶
CMF: cyclophosphamide plus methotrexate plus fluorouracil,CMF：环磷酰胺、甲氨蝶呤、氟尿嘧啶
"CMF: cyclophosphamide, methotrexate, 5-fluorouracil",CMF：环磷酰胺，甲胺蝶呤，5-氟尿嘧啶
Capecitabine and ixabepilone,卡培他滨联合伊沙匹隆
Capecitabine plus weekly oxaliplatin with radiation therapy,卡培他滨联合每周一次奥沙利铂和放疗
Capecitabine with radiation therapy,卡培他滨联合放疗
"Carcinoma, NOS (not otherwise specified)",​癌，NOS（如无特殊说明）
Carcinomas of salivary gland type,涎腺癌类型
"Carcinomas with pleomorphic, sarcomatoid, or sarcomatous elements",多形性癌、肉瘤样癌或含肉瘤成分的癌
Carcinomas with spindle and/or giant cells,梭形和（或）巨细胞癌
Cardiac mortality decreased accordingly,心脏相关死亡率随之下降
Cardiac toxic effects with adjuvant trastuzumab,曲妥珠单抗辅助治疗的心脏毒性反应
"Case-control studies, RCTs in progress",病例对照研究，正在进行中的RCT
Cause of death attribution: Cancer Registry Data,死亡原因分析：癌症登记数据
Celecoxib 200 mg/qd vs 400 mg bid,塞来昔布200 mg/qd与400 mg bid
Cellular Classification and Pathology of Rectal Cancer,直肠癌的细胞学分类和病理
Cellular Classification of Adult Primary Liver Cancer,成人原发性肝癌的细胞学分类
Cellular Classification of Breast Cancer,乳腺癌的细胞学分型
Cellular Classification of Colon Cancer,结肠癌的细胞学分类
Cellular Classification of Esophageal Cancer,食管癌的细胞学分类
Cellular Classification of Gastric Cancer,胃癌的细胞学分类
Cellular Classification of NSCLC,NSCLC的细胞学分类
Cellular Classification of Small Cell Lung Cancer,小细胞肺癌的细胞分类
Cetuximab/Panitumumab and Second-Line Chemotherapy,西妥昔单抗/帕尼单抗与二线化疗
Change in appetite,食欲改变
Change in bowel habits,​排便习惯改变
Characteristics of Cancers Detected by Screening Mammography,经乳腺X线摄影筛查检出肿瘤的特性
Chemoprevention sporadic adenoma,化学预防散发性腺瘤
Chemoradiation with subsequent surgery,术前放化疗联合手术
Chemotherapy alone for local control,单用化疗以进行局部控制
Chemotherapy and metastatic disease,化疗与肿瘤转移
Chemotherapy and radiation therapy,化疗联合放疗
Chemotherapy and tamoxifen risks,化疗联合他莫昔芬的风险
Chemotherapy and targeted therapy,化疗和靶向治疗
Chemotherapy combined with radiation therapy and/or surgery,化疗联合放疗和（或）手术
Chemotherapy followed by reassessment of surgical resectability,化疗后应重新评估肿瘤的可切除性
Chemotherapy followed by surgery (for selected patients),化疗后手术（适用于某些患者）
Chemotherapy or kinase inhibitors alone,单独化疗或激酶抑制剂
Chemotherapy regimens after 2000,2000年后使用的化疗方案
Chemotherapy regimens prior to 2000,早于2000年使用的化疗方案
Chemotherapy-related toxicities were greater with prolonged chemotherapy,延长化疗后化疗相关毒性反应发生率升高
Childhood Liver Cancer (PDQ®): Treatment,儿童肝癌（PDQ®）：治疗
Childhood Rhabdomyosarcoma Treatment,儿童横纹肌肉瘤的治疗
Chronic atrophic gastritis,慢性萎缩性胃炎
Cigarette smoking is the primary risk factor,吸烟是主要的危险因素
"Cigarette, pipe, or cigar smoking",香烟、烟斗烟或雪茄烟
Cirrhosis and other factors,肝硬化与其他因素
Cisplatin + irinotecan,顺铂+伊立替康
Clear cell adenocarcinoma,透明细胞腺癌
Clear cell carcinoma,透明细胞癌
Clinical Breast Examination,​临床乳腺检查
Clinical Evaluation and Staging,临床评估与分期
Clinical Presentation and Symptoms,临床表现与症状
Clinical considerations for high risk groups,对高危人群的临床建议
Clinical trials evaluating new drugs,新药评估临床试验
Clinical trials evaluating single-agent or combination chemotherapy,评估单药化疗或联合化疗的临床试验
Close or microscopically positive resection margins,临近切缘或切缘镜下阳性
Colon Cancer (PDQ®): Treatment,结肠癌（PDQ®）：治疗​
Colorectal Cancer (PDQ®): Prevention,结直肠癌（PDQ®）：预防​
Colorectal Cancer (PDQ®): Screening,结直肠癌（PDQ®）：筛查​
Combination chemotherapy alone,单独联合化疗
Combination chemotherapy and radiation therapy,联合化疗与放疗
Combination chemotherapy with bevacizumab or cetuximab,化疗联合贝伐单抗或西妥昔单抗
Combination hormone therapy,联合激素治疗
Combination of CT imaging and FDG-PET scanning,CT联合FDG-PET
Combination of FOBT and Flexible Sigmoidoscopy,FOBT联合软式乙状结肠镜
Combined modality approaches,综合治疗
Combining local treatment (surgery),联合局部治疗（手术）
Comments: Randomization process was flawed,评论：随机分组过程存在瑕疵
Compliance: 61% screened,依从性：61%的受试者完成了筛查
Compliance: 82% screened,依从性：82%的受试者完成了筛查
Compliance: 89% participation,依从性：参与度89%
Compliance: 89% screened,依从性：89%的受试者完成了筛查
Computed Tomographic (CT) Colonography,计算机断层扫描（CT）结肠成像
Concurrent chemotherapy with radiation therapy and surgery,同步放化疗与手术
Concurrent versus sequential chemoradiation therapy,同步与序贯放化疗
Consistency : Fair,​一致性： 一般
Consistency : Good; multiple studies,一致性：佳，多项研究
Consistency : Inadequate evidence,一致性：证据不足
Consistency : Large study,一致性：大型研究
Consistency : Multiple studies,一致性： 多项研究
Consistency : Poor in prospective studies,一致性：前瞻性研究中一致性较差
Consistency : Single study,一致性：单项研究
Consistency and External Validity : Poor,​一致性和外部效度：较差
Consistency of reports: Good,报告的一致性：佳
Consistency of reports: Not applicable,报告的一致性：不适用
Consistency of reports: Variable,报告的一致性：多样
"Consistency: Multiple studies, large number of participants",一致性：多项研究，参与者人数较多
Consistency: Small number of studies,一致性：研究数量少
Contamination: 16.9% of the CBE only group,干扰：单独CBE筛查组16.9%出现了干扰
Contamination: 26.4% in usual care group,干扰：常规护理组26.4%出现了干扰
Continuing only single-agent chemotherapy,继续单药化疗
Continuing the initial combination chemotherapy regimen,继续初始联合化疗方案
Control: Annual CBE,对照组：每年进行一次CBE
Control: MMG at year 5,对照组：第5年进行一次MMG
Control: Usual care,对照组：常规护理
Cost effectiveness of FDG-PET scanning,FDG-PET扫描的成本效益分析
Cowden syndrome: PTEN gene,​Cowden综合征：PTEN基因
Current Age (in Years),目前年龄（岁）
Cushing syndrome from secretion of adrenocorticotropic hormone,促肾上腺皮质激素分泌过量引起库欣综合征
Cycle Number and Duration (d),疗程数与持续时间（天）
Cyclophosphamide + doxorubicin + etoposide,环磷酰胺+阿霉素+依托泊苷
Cyclophosphamide + doxorubicin + vincristine,环磷酰胺+阿霉素+长春新碱
Cyclophosphamide + etoposide + vincristine,环磷酰胺+依托泊苷+长春新碱
Cytotoxic combination chemotherapy (first line),细胞毒性药物联合化疗（一线）
Cytotrophoblasts and syncytiotrophoblasts are both present,婴儿肝绒毛膜癌中可见细胞滋养层与合体滋养层细胞
DCIS is most often diagnosed by mammography,DCIS最常通过乳腺X线摄影诊断
"Deaths: 50,830 (colon and rectal cancers combined)","死亡病例数：50,830（合并结肠癌与直肠癌）"
Definition of prevention,预防的定义
Definitions of TNM,TNM分期的定义
Delayed surgical resection (chemotherapy followed by surgery),延期手术（术前化疗）
Dense breast tissue,乳腺组织致密
Description of Evidence,证据描述
Description of the Evidence,​证据描述
Detection of DNA Mutations in the Stool,粪便DNA突变检测
Developing more effective systemic therapy,开发更有效的全身治疗
Diagnostics and Survival,诊断和生存
Diet and vitamins,饮食与维生素
Diet low in fruits and vegetables,新鲜果蔬摄入减少
Dietary fat and meat intake,摄取膳食脂肪与肉类
"Dietary fiber, vegetables, and fruit",膳食纤维与蔬果
Diffuse large B-cell lymphoma,弥漫性大B细胞淋巴瘤
Digital Rectal Exam,直肠指检
Digital Rectal Examination,直肠指检
Docetaxel and capecitabine,多西他赛联合卡培他滨
Docetaxel and cyclophosphamide,多西他赛联合环磷酰胺
Docetaxel and doxorubicin,多西他赛联合阿霉素
Docetaxel plus pertuzumab,多西他赛联合帕妥珠单抗
Docetaxel plus trastuzumab,多西他赛联合曲妥珠单抗
Docetaxel plus trastuzumab and pertuzumab,多西他赛、曲妥珠单抗联合帕妥珠单抗
Dominant Geographical Area,主要地理区域
Dominant Geographical Areas,主要地区
Dose and timing,剂量与时间
"Dose-intensity, dose-density, and high-dose chemotherapy",剂量强度、剂量密度与大剂量化疗
Doxorubicin and paclitaxel,阿霉素联合紫杉醇
Ductal Carcinoma In Situ,​导管内原位癌
EGFR tyrosine kinase inhibitors (first line),EGFR酪氨酸激酶抑制剂（一线）
EML4-ALK inhibitors in patients with EML-ALK translocations,EML-ALK易位患者使用EML4-ALK抑制剂
ER and PR status testing,ER和PR表达情况检测
ER or PR status,ER或PR状态
ER–positive tumors were reduced by 48%,ER阳性乳腺癌发病率降低48%
Early eradication of micrometastases,早期根治微转移灶
Ecologic and descriptive studies,生态学与描述性研究
Effectiveness of Population-Based Screening Programs,基于人群的筛查项目的有效性
Efficacy of Screening and Surveillance Programs,筛查与监测项目的有效性
Eliminating secondhand smoke,消除二手烟
Endocavitary radiation therapy,盆腔内放疗
Endoscopic-placed stents to provide palliation of dysphagia,内镜下放置支架以缓解吞咽困难
"Enterochromaffin (EC)-cell, serotonin-producing neoplasm",分泌血清素的肠嗜铬细胞（EC）瘤
Epidermoid or squamous cell carcinoma,表皮样癌或鳞状细胞癌
Esophageal Cancer (PDQ®): Prevention,食管癌（PDQ®）：预防
Esophageal Cancer (PDQ®): Screening,食管癌（PDQ®）：筛查
Esophageal Cancer (PDQ®): Treatment,食管癌（PDQ®）：治疗​
Esophageal Cancer Prevention,食管癌的预防
Esophageal Cancer Screening,食管癌筛查
Esophageal Cancer Treatment,食管癌的治疗
Estrogen-only use among women with a hysterectomy,子宫切除术后女性应用雌激素
Etiology and pathogenesis of breast cancer,乳腺癌的病因和病理机制
Etiology and pathogenesis of colorectal cancer,结直肠癌的病因和发病机制
Etoposide + carboplatin,依托泊苷+卡铂
Etoposide + cisplatin,依托泊苷+顺铂
Evaluation of Breast Symptoms,​乳房症状评估
Evaluation of brain metastasis,脑转移的评估
Evaluation of mediastinal lymph node metastasis,纵隔淋巴结转移的评估
Evidence (5-FU alone and 5-FU-semustine):,证据（单独使用5-FU或5-FU-司莫司汀）：
Evidence (CT scan):,证据（CT扫描）：
Evidence (CT/FDG-PET scan):,证据（CT/FDG-PET）：
Evidence (EGFR tyrosine kinase inhibitors):,证据（EGFR酪氨酸激酶抑制剂）：
Evidence (FDG-PET scan):,证据（FDG-PET扫描）：
Evidence (adjuvant chemoradiation therapy):,证据（辅助放化疗）：
Evidence (adjuvant chemotherapy for stage I NSCLC):,证据（对I期NSCLC的辅助化疗）：
Evidence (adjuvant chemotherapy for stage IB NSCLC):,证据（对IB期NSCLC的辅助化疗）：
Evidence (age vs. comorbidity):,证据（年龄与合并症）：
Evidence (chemoradiation therapy):,证据（放化疗）：
Evidence (chemotherapy and targeted therapy):,证据（化疗与靶向治疗）：
Evidence (combination chemotherapy with bevacizumab or cetuximab):,证据（化疗联合贝伐单抗或西妥昔单抗）：
Evidence (combination chemotherapy):,证据（联合化疗）：
Evidence (combined modality treatment):,证据（综合治疗）：
Evidence (concurrent vs. sequential chemoradiation therapy):,证据（同步与序贯放化疗）：
Evidence (drug and dose schedule):,证据（药物及剂量方案）：
Evidence (endobronchial therapies):,证据（经支气管镜治疗）：
Evidence (laparoscopic techniques):,证据（腹腔镜手术）：
Evidence (maintenance erlotinib following platinum-based doublet chemotherapy):,证据（含铂类双药化疗后厄洛替尼维持治疗）：
Evidence (maintenance therapy following first-line chemotherapy):,证据（一线化疗后的维持治疗）：
Evidence (neoadjuvant chemotherapy):,证据（新辅助化疗）：
Evidence (nodal status):,证据（淋巴结情况）：
Evidence (other combination chemotherapy regimens):,证据（其他联合化疗方案）：
Evidence (radiation therapy for palliative treatment):,证据（放疗作为姑息疗法）：
Evidence (radiation therapy):,证据（放疗）：
Evidence (radical surgery):,证据（根治性手术）：
Evidence (role of PCI):,证据（PCI的作用）：
Evidence (role of surgery):,证据（手术的作用）：
Evidence (standard regimens):,证据（标准方案）：
Evidence about colorectal cancer mortality reduction,关于结直肠癌死亡率降低的证据
Evidence about colorectal cancer reduction,减少结直肠癌的证据
Evidence about lesion detection rate,病变检出率证据
Evidence of Benefit,有益的证据
Evidence of Benefit Associated With Screening,筛查相关获益证据
Evidence of Harm,危害证据
Evidence of Harm Associated With Screening,筛查伤害证据
Evidence of Harms,危害证据
Evidence of No Benefit Associated With Screening,无筛查获益的证据
Evidence of no benefit associated with screening,筛查无获益证据
Examination of the tumor,肿瘤检查
Excessive alcohol use,过度饮酒
"Exclusions: Few, balanced between groups",排除：很少，各组间保持平衡
Exclusions: Inconsistently reported,排除：各项报告排除例数不一致
Exposure to secondhand smoke,二手烟的暴露
Extensive-Stage Small Cell Lung Cancer Treatment,广泛期小细胞肺癌的治疗
External Validity : Poor,可推广性： 差
"External Validity: Good, data from national databases",外部效度：佳，数据来自美国国家数据库
External Validity: N/A,外部效度：不适用
External Validity: Poor,可推广度：较差
External audit: No,外部审核：无
External audit: None,外部审核：无
External audit: Yes,外部稽查：有
Extracapsular tumor spread,包膜外肿瘤侵犯
Extracolonic abnormalities are common in CT colonography,​CT结肠成像中常可见结肠外异常病变
Factors influencing treatment,影响治疗的因素
Factors influencing treatment with chemotherapy,影响化疗的因素
Factors of Unproven or Disproven Association,相关性未经证实或已经证伪的因素
Factors of uncertain association with risk,与肺癌风险关系尚不明确的因素
False positive exams,检查假阳性
False-Positives Leading to Possible Additional Interventions,​假阳性导致额外干预
Familial adenomatous polyposis,家族性腺瘤性息肉病
Familial adenomatous polyposis (FAP): APC gene,​家族性腺瘤性息肉病（FAP）：APC基因
Family history of gastric cancer,胃癌家族史
Fecal Occult Blood Test,便潜血检查
Fecal Occult Blood Test (FOBT),便潜血检查（FOBT）
Fecal Occult Blood Testing (FOBT),便潜血检查（FOBT）
Final results of this trial are pending,该试验最终结果尚未公布
"Finely granular ""salt and pepper"" chromatin",染色质呈细颗粒状“盐和胡椒”样
First-line multiagent chemotherapy,一线多药化疗
Fluorodeoxyglucose-positron emission tomography (FDG-PET) scanning,氟脱氧葡萄糖正电子发射断层扫描（FDG-PET）
Follow-up continued for up to 16 years,随访共达16年
Follow-up duration: 10 years,随访时间：10年
Follow-up duration: 10.7 years,随访时间：10.7年
Follow-up duration: 12 to14 years,随访时间：12到14年
Follow-up duration: 12 years,随访时间：12年
Follow-up duration: 13 years,随访时间：13年
Follow-up duration: 18 years,随访时间：18年
Follow-up duration: 8 years,随访时间：8年
Follow-up ranged from 6 to 13 years,随访时间为6-13年
For palliative treatment,作为姑息治疗
For treatment of locally advanced unresectable tumor,作为局部晚期不可切除肿瘤的治疗
Frequent nuclear molding,常见核铸型
Frequently; jaundice is a common presenting symptom,多见，黄疸为常见症状
Full recovery (usually),完全治愈（常见结局）
Further follow-up is anticipated,尚需进一步随访
Gastric Cancer (PDQ®): Treatment,胃癌（PDQ®）：治疗
Gastric adenomatous polyps,胃腺瘤性息肉
Gastroesophageal reflux/Barrett esophagus,胃食管返流症/Barrett食管
Gastrointestinal Stromal Tumors Treatment,胃肠道间质肿瘤治疗
Gastrointestinal stromal tumor,胃肠道间质瘤
General Information About Adult Primary Liver Cancer,成人原发性肝癌的基本信息
General Information About Breast Cancer,乳腺癌的基本信息
General Information About Colon Cancer,结肠癌的基本信息
General Information About Esophageal Cancer,​食管癌的基本信息
General Information About Gastric Cancer,胃癌基本信息
General Information About Male Breast Cancer,男性乳腺癌的基本信息
General Information About Rectal Cancer,​直肠癌的基本信息
General Information About Small Cell Lung Cancer,小细胞肺癌（NSCLC）的基本信息
Generalizability to other populations is uncertain,结果对其他人群的适用性并不确定
Genetic Characteristics and Risk Factors,遗传学特征和危险因素
Genetic risk factors,​遗传性危险因素
Genetics of Breast and Ovarian Cancer,乳腺癌与卵巢癌的遗传学
Genetics of Colorectal Cancer,结直肠癌的遗传学
German Rectal Cancer Study Group,德国直肠癌研究组
Giant cell carcinoma,巨细胞癌
Glycogen storage diseases I–IV,I-IV型糖原储积症
H. pylori infection eradication,根除幽门螺杆菌感染
"HER2, present in 2% of tumors",HER2，见于2%的肿瘤
HER2/neu receptor status testing,HER2/neu表达情况检测
HGD = high-grade dysplasia,HGD = 重度不典型增生
Harms of Screening Mammography,乳腺X线摄影筛查的危害
Helicobacter pylori gastric infection,胃幽门螺旋杆菌感染
Helicobacter pylori infection and gastric atrophy,幽门螺杆菌与胃粘膜萎缩
Hepatic Virus Types,肝炎病毒类型
Hepatitis B Vaccine to Prevent Hepatocellular Cancer,乙肝疫苗对肝细胞癌的预防
Hepatitis B and C,乙型肝炎与丙型肝炎
Hepatitis B and hepatitis C infection,乙肝与丙肝病毒感染
Hepatitis B virus,乙肝病毒
Hepatitis C virus,丙肝病毒
Hepatitis D causes swelling of the liver,丁型肝炎引起肝脏肿胀
Hepatoblastoma and Hepatocellular Carcinoma,肝母细胞瘤与肝细胞癌
Hepatoblastoma prognosis by postsurgical stage,术后分期与肝母细胞瘤的预后
Hepatoblastoma rarely occurs in adults,肝母细胞瘤在成人中罕见
Hereditary mixed polyposis syndrome,遗传性混合性息肉病综合征
High risk Any patient with metastases,高危任何有转移的患者
High-grade glandular intraepithelial neoplasia,高级别腺上皮内瘤变
Histologic classification is as follows:,组织学分类如下：
Hormonal therapies may be used sequentially,内分泌治疗可以为序贯治疗
Hormone Replacement Therapy,激素替代治疗
Hormone therapy (estrogen plus progestin),激素治疗（雌激素联合孕激素）
Human epidermal growth factor receptor 2 (HER2),人表皮生长因子受体2（HER2）
Human immunodeficiency virus (HIV) infection,人类免疫缺陷病毒（HIV）感染
Hyperplastic polyposis syndrome: BRAF and KRAS2 genes,​增生性息肉综合征：BRAF和KRAS2基因
IASLC-AJCC TNM Staging System,IASLC-AJCC TNM分期系统
Ifosfamide + cisplatin + etoposide,异环磷酰胺+顺铂+依托泊苷
Inadequate lymph node sampling,淋巴结清扫数目不足
Inappropriate antidiuretic hormone secretion,抗利尿激素分泌失调
"Incidence (per 100,000 population)",发病率（每10万人口）
Incidence and Mortality,​发病率与死亡率
"Incidence of Outcomes Per 1,000 Women",每一千女性的结局发生率
Incidence of Symptoms (0–4 scale),症状发生率（0-4分量表）
"Incidence, Mortality, and Risk Factors",发病率、死亡率与危险因素
Individuals With Little to Gain from Screening,筛查获益很小的人群
Infantile Choriocarcinoma of the Liver,婴儿肝绒毛膜癌
Infected drinking water,被感染的饮用水
Initial Surgical Management,初始手术治疗
"Initially, hormonal therapy is recommended",内分泌治疗开始作为推荐治疗方法
Intention-to-treat analysis was not used,未使用意向治疗分析
Intermediate-grade atypical carcinoid,中等分级不典型类癌
Internal Validity : Fair,可信度：一般
Internal Validity : Good,​内部效度： 佳
Internal Validity and Consistency : Fair,内部效度和一致性： 一般
Internal Validity: Not applicable (N/A),内部效度：不适用
Intervention: Annual two-view MMG and CBE,试验组：每年进行双视图MMG和CBE
Intraductal cancer has been described as well,导管内癌也较为常见
Intraluminal brachytherapy to provide palliation of dysphagia,腔内近距离放射治疗以缓解吞咽困难
Intratumoral injection of alcohol,肿瘤内注射无水乙醇
"Introducing a new agent as ""maintenance.""",使用新药作为“维持治疗”
Invasive breast cancer,浸润性乳腺癌
Involvement of multiple nodal stations,多站淋巴结受累
Involvement of pleura,胸膜受累情况
Involvement of the visceral peritoneum,肿瘤累及脏层腹膜
Ionizing radiation exposure,电离辐射
It is a sexually transmitted disease,乙型肝炎属于性传播疾病
Kirsten rat sarcoma viral oncogene (KRAS),Kirsten鼠肉瘤病毒致癌基因（KRAS）
Knowledge of histologic type,病理类型
Lambert-Eaton myasthenic syndrome,Lambert-Eaton肌无力综合征
Lapatinib plus capecitabine,拉帕替尼联合卡培他滨
Lapatinib plus paclitaxel,拉帕替尼联合紫杉醇
Lapatinib plus trastuzumab,拉帕替尼联合曲妥珠单抗
Large cell carcinoma,大细胞癌
Large cell carcinoma (10% of lung cancers),大细胞癌（10%的肺癌）
Large cell carcinoma with rhabdoid phenotype,横纹肌样表型的大细胞癌
Large cell neuroendocrine carcinoma (LCNEC),大细胞神经内分泌癌（LCNEC）
Large tumor size (>3 cm),肿瘤较大（>3cm）
Large tumors (T2 lesions),​肿瘤较大（T2期病变）
Late Effects of Treatment for Childhood Cancer,儿童肿瘤治疗的后期效果
Late toxic effects of radiation,放疗的迟发毒性作用
Length of treatment,治疗持续时间
Levamisole alone did not confer these benefits,单独使用左旋咪唑进行化疗无此获益
Level of evidence: 1iDii,证据等级：1iDii
Level of evidence: 1iiA,证据等级：1iiA
Levels of Evidence,​证据等级
Lifetime Risk of a Breast Cancer Diagnosis,乳腺癌诊断的终生风险
Likely Etiology of HCC,肝细胞癌的可能病因
Limitations of evidence (surgery):,证据局限性（手术）：
Limited Role for Radiation Therapy,放疗的有限作用
Limited-Stage Small Cell Lung Cancer Treatment,局限期小细胞肺癌的治疗
Linked to Swedish Cause of Death Registry,研究数据连接瑞典死亡原因登记处
Little or no association with cancer,与肝癌相关性小或不相关
Liver (Hepatocellular) Cancer (PDQ®): Prevention,肝（肝细胞）癌（PDQ®）：预防
Liver (Hepatocellular) Cancer (PDQ®): Screening,肝癌（肝细胞癌）（PDQ®）：筛查
